mode,lambda_real,lambda_imag,lambda_abs,lambda_angle_rad,omega_real_growth_decay,omega_imag_angular_frequency,frequency_cycles_per_time,amplitude_abs
1,0.9697087291236317,0.2556281987078193,1.0028363751446063,0.25774965501994157,0.04485302094119693,4.081702101827118,0.6496230657343646,0.29447293141271064
2,0.9680083631435809,0.22868652012271162,0.9946545709952526,0.2319908736251338,-0.08487682334248223,3.6737881818199014,0.5847015490092241,1.2784657822993337
3,0.986433015194567,0.20595507388972006,1.0077041162597111,0.20583080951302726,0.12153418646331686,3.259519582073158,0.5187686535917719,0.6318370359222485
4,0.9802940060376765,0.1809634625888559,0.9968571176781276,0.1825461485480001,-0.04984879863093435,2.890785627438262,0.4600828220258055,8.604790959374007
5,1.00318994628412,0.03862239561514373,1.0039331440731443,0.03848057931704888,0.06216277485705009,0.6093752539291339,0.09698508386070058,0.32218409494437983
6,0.9925082075098073,0.05634813480069967,0.9941064602294104,0.056712589626289736,-0.09360571192103133,0.8980958529693326,0.14293639437040134,1.362515313088537
7,0.9894015804043447,0.15702001739452803,1.0017837956211872,0.15738941357874994,0.028222874669275363,2.4924056645585764,0.3966786817047378,3.639489971548973
8,0.9922091308305241,0.13568181048294572,1.0014432150648351,0.13590424622661224,0.022838157520291485,2.1521683411272683,0.34252822985628917,3.3269055003360135
9,1.0025455814577577,0.0917799560480711,1.0067379019549525,0.09129244767204765,0.10634299166842058,1.4456996092394754,0.23009023903648404,0.8181702102774214
10,0.9865188101626845,0.10775802603007123,0.9923865955255019,0.10879924624241787,-0.12102653894001839,1.7229358154932357,0.27421375166581424,4.430561356712311
